1;Parque Natural Municipal João José Teodoro da Costa Neto ;BR-116
2;Cine marrocos;R. Gov. Jorge Lacerda, 92 - Centro, Lages - SC, 88501-120
3;Boate virtual panoramico;R. Oito Quatrocentos e Vinte e Oito, 2-68 - Boqueirão, Lages - SC, 88514-545
4;Sebo Marechal;R. Mal. Deodoro, 253 - Centro, Lages - SC, 88501-000
5;Galeria bar;Rua Zeca Neves Centro, Lages - SC
6;Supermercado Martendal;R. São Joaquim, 1079 - Copacabana, Lages - SC, 88504-011
7;Shanghai;R. Correia Pinto, 608 - Centro, Lages - SC, 88502-200
8;Strike Boliche Bar;Av. Pres. Vargas, 1300 - Sagrado Coracao de Jesus, Lages - SC, 88508-109
9;Juliu's Café;R. Pres. Nereu Ramos, 11 - Centro, Lages - SC, 88502-170
10;Restaurante Cansian Zamban;R. Frei Rogerio, 730 - Centro, Lages - SC, 88502-161
11;Motel Chevalier;Rodovia SC 114, 500 - Da Chapada, Lages - SC, 88500-000
12;Motel Villages;R. Bruno Luersen, 3090 - Vila Mariza, Lages - SC, 88520-210
13;Motel Paraíso;2465, Av. Papa João XXIII, 2397 - Área Industrial, Lages - SC
14;Motel Fantasia;Jardim das Camelias, Lages - SC
15;Motel Scorpios;Rua Jacy Guidali, 7 - Restinga Sêca, Lages - SC, 88519-722
16;Lages Garden Shopping;BR-282, 1015 - Guarujá, Lages - SC
17;Restaurante Galpão Capão do Cipó;Rua Bruno Luersen, s/n - Vila Mariza, Lages - SC, 88524-650
18;IFSC Campus Lages;R. Heitor Villa Lobos, 222 - São Francisco, Lages - SC, 88506-400
19;Supermercado BIG;R. Getúlio Vargas, 232 - Conta Dinheiro, Lages - SC, 88508-620
20;stock center;Rua Humberto de Campos - Sagrado Coracao de Jesus, Lages - SC, 88508-395
21;Parque Jonas Ramos (Tanque);Centro, Lages - SC, 88502-120
22;Malinverni Filho;Centro, Lages - SC, 88501-010
23;Catedral Diocesana;Rua Frei Gabriel, 145 - Centro, Lages - SC, 88502-030
